ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A93,P3_5,Unknown,1,tetW,Test,27.19624079,-1,0.948591213,Pass,0.002436086,82.77332838,999,1
S06-A92,P3_5,Unknown,1,tetW,Test,999,-1,0,Flag,0.002436086,999,999,0
S06-A91,P3_5,Unknown,1,tetW,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A01,Supply_Water,Unknown,1,16S_155y_1392,Test,15.72541832,4.10E-06,0.993813297,Pass,0.002436086,89.23617063,999,1
S95-A02,Supply_Water,Unknown,1,16S_155y_1392,Test,15.28265022,6.82E-06,0.931944496,Pass,0.002436086,89.05911557,999,1
S95-A03,Supply_Water,Unknown,1,16S_155y_1392,Test,15.79951844,3.76E-06,0.993969881,Pass,0.002436086,89.04164509,999,1
S95-A04,Supply_Water,Unknown,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A05,Supply_Water,Unknown,1,tetO,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A06,Supply_Water,Unknown,1,tetO,Test,22.62218124,2.39E-05,1,Pass,0.002436086,80.18973679,999,1
S95-A07,Supply_Water,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A08,Supply_Water,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A09,Supply_Water,Unknown,1,sul2,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A10,Supply_Water,Unknown,1,tetT,Test,22.74736874,-1,1,Pass,0.002436086,77.11646888,999,1
S95-A11,Supply_Water,Unknown,1,tetT,Test,23.35444229,-1,1,Pass,0.002436086,77.09203083,999,1
S95-A12,Supply_Water,Unknown,1,tetT,Test,23.67938581,-1,1,Pass,0.002436086,77.07864429,999,1
S95-A13,Supply_Water,Unknown,1,tet33_241_388,Test,24.3865775,4.60E-08,1,Pass,0.002436086,89.45533923,999,1
S95-A14,Supply_Water,Unknown,1,tet33_241_388,Test,23.58412811,8.27E-08,1,Pass,0.002436086,89.18577699,999,1
S95-A15,Supply_Water,Unknown,1,tet33_241_388,Test,27.14537953,6.15E-09,0,Flag,0.002436086,999,999,0
S95-A16,Supply_Water,Unknown,1,tetM,Test,21.58391714,-1,1,Pass,0.002436086,81.30571484,999,1
S95-A17,Supply_Water,Unknown,1,tetM,Test,20.91912983,-1,1,Pass,0.002436086,81.16983895,999,1
S95-A18,Supply_Water,Unknown,1,tetM,Test,20.40279971,-1,1,Pass,0.002436086,81.11494759,999,1
S95-A19,Supply_Water,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A20,Supply_Water,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A21,Supply_Water,Unknown,1,sul1 NEW,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A22,Supply_Water,Unknown,1,sulIII-marko,Test,6.418465072,2.68E-05,1,Pass,0.002436086,73.79481172,999,1
